text,label
"Ce produit est excellent, je le recommande vivement à tout le monde.",positif
"Un service client exceptionnel, très à l'écoute de mes besoins.",positif
"Je suis très satisfait de mon achat, la livraison était rapide.",positif
"Super qualité, ce produit dépasse largement mes attentes.",positif
"Une expérience géniale du début à la fin, merci beaucoup.",positif
Le personnel était vraiment aimable et professionnel avec moi.,positif
"Rapport qualité-prix imbattable, je rachèterai sans hésiter.",positif
"Produit conforme à la description, rien à redire du tout.",positif
"Livraison ultra rapide et emballage soigné, bravo à l'équipe.",positif
"Je recommande cette boutique les yeux fermés, top service.",positif
"Enfin un produit fiable et durable, je suis ravi de mon choix.",positif
L'équipe a été réactive et a résolu mon problème en un rien de temps.,positif
Ce restaurant propose une cuisine délicieuse et un accueil chaleureux.,positif
"Application très intuitive, simple à utiliser au quotidien.",positif
Le montage a été facile et le résultat final est superbe.,positif
Je suis agréablement surpris par la robustesse de ce matériel.,positif
"Nos invités ont adoré le repas, tout était parfaitement réussi.",positif
"Formation très enrichissante, le formateur maîtrisait parfaitement son sujet.",positif
Le chauffeur a été ponctuel et très courtois pendant tout le trajet.,positif
Cet hôtel offre un confort remarquable pour un prix très raisonnable.,positif
Le SAV a traité ma demande rapidement et avec beaucoup de gentillesse.,positif
"Mon téléphone fonctionne parfaitement, aucune déception après trois mois.",positif
Cette crème a nettement amélioré l'apparence de ma peau en deux semaines.,positif
"La conférence était passionnante, j'ai beaucoup appris aujourd'hui.",positif
"Le jardinier a fait un travail soigné, notre pelouse est magnifique.",positif
Les enfants étaient ravis de leur visite au parc d'attractions.,positif
Je tiens à féliciter toute l'équipe pour son professionnalisme.,positif
Cette voiture consomme peu et reste très confortable sur autoroute.,positif
Le plombier est intervenu rapidement et a réglé le problème proprement.,positif
J'apprécie énormément la réactivité de votre équipe technique.,positif
"Ce livre est captivant, je l'ai terminé en une seule soirée.",positif
La nouvelle mise à jour a considérablement amélioré les performances.,positif
"L'installation s'est déroulée sans le moindre souci, merci encore.",positif
Nos clients sont enchantés par la qualité de notre nouveau service.,positif
Le coach a su motiver toute l'équipe malgré les difficultés du match.,positif
Cette assurance rembourse rapidement et sans complications administratives.,positif
Le déménagement s'est très bien passé grâce à une équipe efficace.,positif
"Les résultats de l'examen sont excellents, toutes mes félicitations.",positif
Le wifi de l'hôtel était rapide et stable durant tout le séjour.,positif
Cette boulangerie propose un pain délicieux et toujours frais.,positif
"Produit décevant, il ne fonctionne pas comme annoncé sur la fiche.",négatif
"Service client injoignable, j'ai attendu trois semaines sans réponse.",négatif
Je suis extrêmement déçu de la qualité reçue par rapport au prix payé.,négatif
"Livraison en retard et produit endommagé à l'arrivée, inacceptable.",négatif
"Une perte de temps et d'argent, à éviter absolument selon moi.",négatif
Le personnel était désagréable et peu compétent durant tout l'échange.,négatif
"Rapport qualité-prix catastrophique pour ce produit, je ne rachèterai plus.",négatif
"Produit non conforme à la description, je suis très mécontent.",négatif
Emballage abîmé et objet cassé dès l'ouverture du colis.,négatif
Je déconseille fortement cette boutique après cette mauvaise expérience.,négatif
Ce matériel est tombé en panne après seulement deux semaines d'utilisation.,négatif
L'équipe n'a jamais donné suite à mes multiples réclamations.,négatif
Ce restaurant propose une cuisine fade et un service très lent.,négatif
"Application buguée en permanence, elle plante toutes les cinq minutes.",négatif
Le montage était incompréhensible et le résultat final est raté.,négatif
Je suis très mécontent de la fragilité de ce matériel bas de gamme.,négatif
Nos invités ont trouvé le repas insipide et mal présenté.,négatif
"Formation décevante, le formateur ne maîtrisait pas du tout son sujet.",négatif
Le chauffeur est arrivé très en retard et a été impoli avec nous.,négatif
"Cet hôtel est bruyant et sale, une expérience désastreuse au final.",négatif
Le SAV a mis des semaines à traiter ma demande sans aucune excuse.,négatif
Mon téléphone a des problèmes de batterie depuis la première semaine.,négatif
Cette crème a irrité ma peau et provoqué des rougeurs importantes.,négatif
La conférence était ennuyeuse et mal organisée du début à la fin.,négatif
"Le jardinier a bâclé le travail, notre pelouse est dans un état pitoyable.",négatif
Les enfants se sont ennuyés toute la journée au parc d'attractions.,négatif
Je tiens à signaler le manque total de professionnalisme de l'équipe.,négatif
Cette voiture consomme énormément et le confort laisse vraiment à désirer.,négatif
Le plombier n'a pas résolu le problème et a laissé un désordre complet.,négatif
Je suis exaspéré par la lenteur de votre équipe technique.,négatif
"Ce livre est ennuyeux, je n'ai pas réussi à le terminer.",négatif
La nouvelle mise à jour a considérablement dégradé les performances.,négatif
L'installation a posé de nombreux problèmes techniques non résolus.,négatif
Nos clients se plaignent régulièrement de la qualité de ce service.,négatif
Le coach n'a montré aucune motivation malgré les efforts de l'équipe.,négatif
Cette assurance refuse systématiquement de rembourser les sinistres.,négatif
"Le déménagement a été chaotique, plusieurs meubles ont été abîmés.",négatif
"Les résultats de l'examen sont catastrophiques, je suis très inquiet.",négatif
Le wifi de l'hôtel était instable et coupait toutes les heures.,négatif
Cette boulangerie vend un pain souvent rassis et mal cuit.,négatif
Le colis est arrivé aujourd'hui à l'adresse indiquée sur la commande.,neutre
Le produit est disponible en trois coloris différents sur le site.,neutre
La commande a été passée le trois du mois dernier via l'application.,neutre
Le magasin ouvre à neuf heures et ferme à dix-neuf heures en semaine.,neutre
Le manuel d'utilisation est fourni avec l'appareil dans la boîte.,neutre
La commande contient deux articles différents selon le bon de livraison.,neutre
Le produit pèse environ deux kilogrammes selon la fiche technique.,neutre
Le paiement peut se faire par carte bancaire ou en espèces.,neutre
La réunion est prévue à quatorze heures dans la salle B.,neutre
Le rapport annuel sera publié la semaine prochaine sur le site.,neutre
Cette voiture est équipée d'un moteur diesel de deux litres.,neutre
Le contrat prend effet à compter de la date de signature.,neutre
L'appareil fonctionne sur secteur ou avec des piles rechargeables.,neutre
La formation se déroule sur trois jours consécutifs en présentiel.,neutre
Le trajet entre les deux villes dure environ deux heures en voiture.,neutre
Le document doit être signé et renvoyé avant la fin du mois.,neutre
"Cette assurance couvre le vol, l'incendie et les dégâts des eaux.",neutre
"Le logiciel est compatible avec Windows, macOS et Linux.",neutre
La conférence aura lieu dans l'amphithéâtre principal du campus.,neutre
Le vol décolle à sept heures et atterrit à midi selon l'horaire.,neutre
Le musée propose une exposition temporaire jusqu'à la fin de l'année.,neutre
Le rendez-vous a été fixé au douze du mois prochain.,neutre
Cette imprimante utilise des cartouches d'encre au format standard.,neutre
Le colis pèse cinq cents grammes et sera livré sous quarante-huit heures.,neutre
L'entreprise emploie environ deux cents salariés répartis sur trois sites.,neutre
La bibliothèque municipale est ouverte du mardi au samedi.,neutre
Le prix affiché inclut la TVA mais pas les frais de livraison.,neutre
Ce modèle existe en version quatre ou huit gigaoctets de mémoire.,neutre
La garantie du produit est valable deux ans à partir de l'achat.,neutre
Le parking est situé à l'arrière du bâtiment principal.,neutre
Le prochain épisode sera diffusé mardi à vingt heures.,neutre
Cette route est fermée à la circulation pour travaux jusqu'à vendredi.,neutre
Le colis a été expédié depuis l'entrepôt régional ce matin.,neutre
L'appartement dispose de trois chambres et d'une cuisine équipée.,neutre
Le stade peut accueillir jusqu'à quarante mille spectateurs.,neutre
La météo annonce des températures autour de vingt degrés demain.,neutre
Le questionnaire comporte quinze questions à choix multiples.,neutre
Le train part de la voie numéro six à dix heures trente.,neutre
Cette bibliothèque compte plus de cent mille ouvrages référencés.,neutre
Le forfait comprend cent gigaoctets de données mobiles par mois.,neutre
